account_id,linked_phone,linked_device_id,kyc_address_hash,account_age_days,bank_name,bank_ifsc,account_status
ACC0000105,+918870030532,DEV000101,ADDR2556523789,2914,ICICI,ICIC0361683,active
ACC0000106,+917069761886,DEV000102,ADDR9158531998,2878,PNB,PNB0697052,frozen
ACC0000107,+918927751435,DEV000103,ADDR8566078966,2854,HDFC,HDFC0152994,active
ACC0000108,+918026058212,DEV000104,ADDR1078335181,2436,IndusInd,INDU0557875,reported
ACC0000109,+919603794826,DEV000105,ADDR8538176484,1737,Axis,AXIS0265252,active
ACC0000110,+917060609294,DEV000106,ADDR1984642447,2582,Kotak,KOTA0595504,active
ACC0000111,+918153451600,DEV000107,ADDR5529868970,1033,SBI,SBI0748785,active
ACC0000112,+918651324278,DEV000108,ADDR5705303426,2856,SBI,SBI0996194,reported
ACC0000113,+919765944661,DEV000109,ADDR7860758070,2041,ICICI,ICIC0876842,reported
ACC0000114,+918853557566,DEV000110,ADDR5600329663,1691,ICICI,ICIC0665805,active
ACC0000115,+917093655947,DEV000111,ADDR9451077579,1860,ICICI,ICIC0742812,active
ACC0000116,+917190408308,DEV000112,ADDR1831475149,2088,HDFC,HDFC0775318,active
ACC0000117,+918445874739,DEV000113,ADDR337464942,164,IndusInd,INDU0446619,reported
ACC0000118,+918439834461,DEV000114,ADDR9165088103,536,Yes Bank,YES 0628740,reported
ACC0000119,+919541458902,DEV000115,ADDR1053110097,918,SBI,SBI0289724,active
ACC0000120,+918015607775,DEV000116,ADDR8906938409,444,SBI,SBI0402012,active
ACC0000121,+917278370273,DEV046040,ADDR1726703760,1621,Axis,AXIS0951817,active
ACC0000122,+919507918895,DEV000117,ADDR1697966023,2449,SBI,SBI0568150,frozen
ACC0000123,+919488086993,DEV000118,ADDR334701205,2399,Axis,AXIS0596138,active
ACC0000124,+918196414729,DEV000119,ADDR1407682553,1735,HDFC,HDFC0298121,active
ACC0000125,+919463943623,DEV000120,ADDR2824479156,3125,HDFC,HDFC0325672,active
ACC0000126,+917808154630,DEV000121,ADDR8241634272,2076,ICICI,ICIC0839094,active
ACC0000127,+918175636523,DEV000122,ADDR1590714920,316,HDFC,HDFC0972660,active
ACC0000128,+918152308793,DEV000123,ADDR8775037490,2799,Yes Bank,YES 0692415,active
ACC0000129,+919633795198,DEV000124,ADDR7020568309,2110,Kotak,KOTA0173264,active
ACC0000130,+919609911735,DEV000125,ADDR5803511261,2327,IndusInd,INDU0971729,frozen
ACC0000131,+917289997835,DEV000126,ADDR9741744866,2076,IndusInd,INDU0237989,active
ACC0000132,+919804613064,DEV000127,ADDR9203468244,2033,SBI,SBI0732313,active
ACC0000133,+919795448901,DEV000128,ADDR5496009804,357,Axis,AXIS0732997,active
ACC0000134,+918669719482,DEV000129,ADDR3004629402,2054,IndusInd,INDU0145509,reported
ACC0000135,+917366881851,DEV000130,ADDR9620997995,2907,SBI,SBI0331784,active
ACC0000136,+919194851951,DEV000131,ADDR3899698285,1130,SBI,SBI0571777,frozen
ACC0000137,+918563328236,DEV000132,ADDR2219872320,2212,SBI,SBI0217358,active
ACC0000138,+919652460885,DEV000133,ADDR8118979202,141,SBI,SBI0822108,active
ACC0000139,+917187463568,DEV000134,ADDR6197942199,1287,Axis,AXIS0729684,active
ACC0000140,+917802022055,DEV000135,ADDR6893299731,1610,Kotak,KOTA0214968,active
ACC0000141,+919402699444,DEV000136,ADDR9055423799,3587,PNB,PNB0255229,active
ACC0000142,+918884144268,DEV000137,ADDR5246816093,806,ICICI,ICIC0563055,reported
ACC0000143,+919617811494,DEV000138,ADDR2373527906,1031,ICICI,ICIC0463475,active
ACC0000144,+919411125267,DEV000139,ADDR4800867041,1508,HDFC,HDFC0728573,reported
ACC0000145,+917653395379,DEV000140,ADDR8536040418,3623,IndusInd,INDU0354196,active
ACC0000146,+918788889883,DEV000141,ADDR9134449331,3119,HDFC,HDFC0694919,active
ACC0000147,+919817429192,DEV000142,ADDR9232310398,155,SBI,SBI0830666,active
ACC0000148,+917742407575,DEV000143,ADDR8319421732,876,IndusInd,INDU0925766,frozen
ACC0000149,+917598714228,DEV000144,ADDR266452603,3004,HDFC,HDFC0480246,active
ACC0000150,+918393370423,DEV000145,ADDR296014192,241,SBI,SBI0430362,frozen
ACC0000151,+918444501501,DEV000146,ADDR650293636,3127,SBI,SBI0584399,active
ACC0000152,+918430874886,DEV000147,ADDR4194974368,1048,HDFC,HDFC0800404,active
ACC0000153,+918913239277,DEV000148,ADDR1455135305,3351,ICICI,ICIC0191786,active
ACC0000154,+918308435560,DEV000149,ADDR3294065508,1092,HDFC,HDFC0401804,reported
ACC0000155,+917460857535,DEV000150,ADDR4029045319,1602,SBI,SBI0941001,active
ACC0000156,+919662751811,DEV000151,ADDR9973140278,2426,SBI,SBI0289540,active
ACC0000157,+918120455550,DEV000152,ADDR7029343035,487,SBI,SBI0188369,active
ACC0000158,+918480909696,DEV000153,ADDR1583252841,2046,Kotak,KOTA0928134,active
ACC0000159,+919719939324,DEV000154,ADDR2249261443,1858,HDFC,HDFC0875312,active
ACC0000160,+917186700273,DEV000155,ADDR2531874769,2867,SBI,SBI0193923,frozen
ACC0000161,+919239144808,DEV000156,ADDR5569031234,3635,Axis,AXIS0541893,frozen
ACC0000162,+919721426941,DEV000157,ADDR2974355001,2434,SBI,SBI0806048,active
ACC0000163,+919630321924,DEV000158,ADDR2892268220,1511,IndusInd,INDU0296055,active
ACC0000164,+917164032851,DEV000159,ADDR4429399524,1501,SBI,SBI0285886,active
ACC0000165,+918863431602,DEV000160,ADDR3639624340,1543,Kotak,KOTA0135228,active
ACC0000166,+918648560034,DEV000161,ADDR3531631445,2976,Kotak,KOTA0973708,reported
ACC0000167,+917107527531,DEV000162,ADDR8279886771,1192,Axis,AXIS0840502,active
ACC0000168,+917997018478,DEV000163,ADDR3209852837,634,Axis,AXIS0510618,active
ACC0000169,+918784923817,DEV000164,ADDR879697009,1240,ICICI,ICIC0997974,frozen
ACC0000170,+918000466582,DEV000165,ADDR1949151228,112,Kotak,KOTA0785186,active
ACC0000171,+918140934457,DEV000166,ADDR9548026872,414,ICICI,ICIC0856699,active
ACC0000172,+917056709121,DEV000167,ADDR776333686,355,SBI,SBI0805665,active
ACC0000173,+919500090262,DEV000168,ADDR9461409264,2823,SBI,SBI0440999,active
ACC0000174,+919770964210,DEV000169,ADDR2208004630,2644,SBI,SBI0727090,active
ACC0000175,+917378304250,DEV000170,ADDR5862133492,2552,IndusInd,INDU0193158,active
ACC0000176,+918635030831,DEV000171,ADDR1206841601,1701,SBI,SBI0148085,active
ACC0000177,+917335688865,DEV000172,ADDR9583531238,2625,Axis,AXIS0104042,active
ACC0000178,+918786882113,DEV000173,ADDR9830703809,613,HDFC,HDFC0851977,reported
ACC0000179,+919429876974,DEV000174,ADDR6360317349,3290,Yes Bank,YES 0389518,active
ACC0000180,+917937271686,DEV000175,ADDR48802423,1843,IndusInd,INDU0974680,frozen
ACC0000181,+917529713140,DEV000176,ADDR2435083965,3425,Axis,AXIS0363642,active
ACC0000182,+918053855999,DEV000177,ADDR2714597137,581,IndusInd,INDU0298799,active
ACC0000183,+917848959686,DEV000178,ADDR1187011683,1830,Yes Bank,YES 0513006,frozen
ACC0000184,+918066946043,DEV000179,ADDR6004932058,2550,SBI,SBI0363387,active
ACC0000185,+918622176203,DEV022111,ADDR2860078073,1824,SBI,SBI0326063,frozen
ACC0000186,+917862128006,DEV000180,ADDR5720782389,1645,Axis,AXIS0511352,active
ACC0000187,+918251909231,DEV000181,ADDR3083349520,631,PNB,PNB0380017,active
ACC0000188,+918386673274,DEV000182,ADDR320245309,1409,ICICI,ICIC0404193,active
ACC0000189,+917741188470,DEV000183,ADDR9795265296,894,HDFC,HDFC0363171,frozen
ACC0000190,+919293905859,DEV000184,ADDR1974655560,1121,HDFC,HDFC0320479,active
ACC0000191,+917133381652,DEV000185,ADDR3847509854,2504,SBI,SBI0963724,active
ACC0000192,+918154374351,DEV000186,ADDR2500908641,2311,Yes Bank,YES 0268158,active
ACC0000193,+919860188247,DEV000187,ADDR9583385719,2228,HDFC,HDFC0885119,active
ACC0000194,+917943043793,DEV000188,ADDR6425984708,1339,Axis,AXIS0915936,active
ACC0000195,+917811162523,DEV000189,ADDR7971498759,3504,PNB,PNB0690796,active
ACC0000196,+917764119876,DEV000190,ADDR7973884599,347,SBI,SBI0947630,active
ACC0000197,+918658905118,DEV000191,ADDR3901998744,1270,SBI,SBI0932970,active
ACC0000198,+918107038866,DEV000192,ADDR3465011636,457,HDFC,HDFC0538727,active
ACC0000199,+918191256792,DEV000193,ADDR9556613539,1256,Axis,AXIS0716813,active
ACC0000200,+918146205566,DEV000194,ADDR6104910407,3512,HDFC,HDFC0197417,frozen
ACC0000201,+918608418113,DEV000195,ADDR6425177671,1355,SBI,SBI0365166,active
ACC0000202,+919193425810,DEV000196,ADDR2273076626,3319,HDFC,HDFC0254512,frozen
ACC0000203,+917409414786,DEV000197,ADDR7800193385,1822,SBI,SBI0263903,frozen
ACC0000204,+918740450607,DEV000198,ADDR5927630701,2562,SBI,SBI0823536,frozen
ACC0000205,+918296993690,DEV032542,ADDR3475883680,1685,HDFC,HDFC0897072,active
ACC0000206,+919512893135,DEV000199,ADDR4849673135,992,SBI,SBI0841913,active
ACC0000207,+918174135011,DEV000200,ADDR7770584385,2796,Axis,AXIS0107817,active
ACC0000208,+918785893542,DEV045581,ADDR9193610641,3538,HDFC,HDFC0762218,active
ACC0000209,+918127050739,DEV029264,ADDR787212500,983,Axis,AXIS0159112,reported
ACC0000210,+917412039175,DEV000201,ADDR241150897,2849,IndusInd,INDU0585898,reported
ACC0000211,+918410052048,DEV000202,ADDR2997336064,975,Yes Bank,YES 0759817,active
ACC0000212,+917679012456,DEV000203,ADDR6808419689,2625,SBI,SBI0257544,active
ACC0000213,+919729523908,DEV000204,ADDR6676173437,2886,SBI,SBI0273172,active
ACC0000214,+919166129097,DEV000205,ADDR3770803651,1656,Yes Bank,YES 0562879,active
ACC0000215,+918761399351,DEV000206,ADDR7892228036,2697,Yes Bank,YES 0517305,active
ACC0000216,+919369001007,DEV000207,ADDR8203378989,1015,SBI,SBI0852671,active
ACC0000217,+917487043182,DEV000208,ADDR626799426,316,SBI,SBI0624524,active
ACC0000218,+918408123755,DEV000209,ADDR8665008570,378,Yes Bank,YES 0350585,active
ACC0000219,+919629402347,DEV000210,ADDR19344337,1648,SBI,SBI0434642,active
ACC0000220,+917469489712,DEV000211,ADDR1670122254,3297,Yes Bank,YES 0264847,active
ACC0000221,+918553245307,DEV000212,ADDR467442265,491,Kotak,KOTA0584248,active
ACC0000222,+918772453972,DEV000213,ADDR5909474902,1679,SBI,SBI0633318,frozen
ACC0000223,+919002858712,DEV000214,ADDR9840265967,2578,Yes Bank,YES 0149238,active
ACC0000224,+918295624809,DEV000215,ADDR4243157786,762,ICICI,ICIC0988331,reported
ACC0000225,+919798430629,DEV000216,ADDR1070720839,2642,PNB,PNB0757666,reported
ACC0000226,+917078234508,DEV000217,ADDR6117973682,1137,ICICI,ICIC0631912,active
ACC0000227,+919706235517,DEV000218,ADDR3353818885,2957,SBI,SBI0567704,reported
ACC0000228,+919090446738,DEV000219,ADDR3683991904,2126,Axis,AXIS0671858,active
ACC0000229,+919967900743,DEV000220,ADDR6756101431,2009,SBI,SBI0435132,active
ACC0000230,+919523799529,DEV000221,ADDR3818599190,669,Kotak,KOTA0801134,active
ACC0000231,+918083599838,DEV000222,ADDR7642279670,1706,ICICI,ICIC0605837,active
ACC0000232,+919453073960,DEV000223,ADDR7530410873,3130,SBI,SBI0211593,active
ACC0000233,+917410149753,DEV000224,ADDR521487145,100,SBI,SBI0159116,reported
ACC0000234,+918884932440,DEV000225,ADDR6161700750,2775,Yes Bank,YES 0730807,active
ACC0000235,+919808154326,DEV000226,ADDR1165840005,1813,HDFC,HDFC0328903,active
ACC0000236,+919981606722,DEV000227,ADDR8907940556,2634,Yes Bank,YES 0297504,active
ACC0000237,+919622247725,DEV000228,ADDR559100114,2431,SBI,SBI0666657,active
ACC0000238,+919967459769,DEV000229,ADDR7895960296,1594,ICICI,ICIC0887071,active
ACC0000239,+917125356975,DEV000230,ADDR8475055778,1147,Yes Bank,YES 0490209,frozen
ACC0000240,+918819279485,DEV000231,ADDR1697607464,2300,SBI,SBI0328639,active
ACC0000241,+917070505482,DEV000232,ADDR2143069844,537,HDFC,HDFC0141410,frozen
ACC0000242,+919874241086,DEV000233,ADDR6919191868,2144,Yes Bank,YES 0114957,active
ACC0000243,+919330871140,DEV000234,ADDR3544141434,372,IndusInd,INDU0145715,active
ACC0000244,+917425913937,DEV000235,ADDR8828856374,2382,Axis,AXIS0716564,active
ACC0000245,+918641284227,DEV037793,ADDR6294527728,2306,Yes Bank,YES 0145495,frozen
ACC0000246,+917597738343,DEV000236,ADDR811399099,335,IndusInd,INDU0162911,reported
ACC0000247,+918477431496,DEV000237,ADDR7506214430,2772,Yes Bank,YES 0797933,active
ACC0000248,+918888282266,DEV000238,ADDR3216377275,1535,Axis,AXIS0543543,active
ACC0000249,+917266596423,DEV000239,ADDR3446969864,2878,Axis,AXIS0321990,active
ACC0000250,+918687551338,DEV000240,ADDR3323559,180,SBI,SBI0764940,active
ACC0000251,+917131637889,DEV000241,ADDR2485457259,679,Kotak,KOTA0247336,active
ACC0000252,+917667054788,DEV000242,ADDR227516281,1818,PNB,PNB0458724,reported
ACC0000253,+919989622194,DEV000243,ADDR5032378878,711,HDFC,HDFC0639470,active
ACC0000254,+919648589246,DEV000244,ADDR3942471330,1224,IndusInd,INDU0866387,active
ACC0000255,+919280536582,DEV000245,ADDR1921512285,2421,HDFC,HDFC0544731,active
ACC0000256,+917711562112,DEV000246,ADDR420962577,553,Axis,AXIS0776739,active
ACC0000257,+917635179785,DEV000247,ADDR1598597446,2483,Kotak,KOTA0598958,active
ACC0000258,+918140496473,DEV000248,ADDR4747800178,404,SBI,SBI0567606,reported
ACC0000259,+919362224307,DEV000249,ADDR9308291782,664,Kotak,KOTA0446769,frozen
ACC0000260,+919510404935,DEV000250,ADDR1531148851,2157,SBI,SBI0397466,frozen
ACC0000261,+918880685059,DEV000251,ADDR2300486156,2902,ICICI,ICIC0522038,active
ACC0000262,+917287458205,DEV000252,ADDR6896852323,647,ICICI,ICIC0487633,frozen
ACC0000263,+918340365522,DEV000253,ADDR6956545176,1115,HDFC,HDFC0678319,active
ACC0000264,+919044226851,DEV000254,ADDR2721554535,3378,IndusInd,INDU0533258,reported
ACC0000265,+917220866226,DEV000255,ADDR3800429321,3612,Yes Bank,YES 0226453,active
ACC0000266,+918759824345,DEV000256,ADDR7915371052,2133,HDFC,HDFC0602723,active
ACC0000267,+919096784339,DEV000257,ADDR1498676723,1648,SBI,SBI0273747,active
ACC0000268,+918500581764,DEV000258,ADDR1754464397,1285,Axis,AXIS0679589,active
ACC0000269,+919614403443,DEV000259,ADDR533433103,2247,PNB,PNB0790036,frozen
ACC0000270,+918686015331,DEV000260,ADDR2569556473,2169,Kotak,KOTA0424079,active
ACC0000271,+918414493506,DEV000261,ADDR9354842785,1097,SBI,SBI0584988,active
ACC0000272,+917141389755,DEV000262,ADDR8515987023,112,Yes Bank,YES 0786002,active
ACC0000273,+917078515009,DEV000263,ADDR3584177314,578,ICICI,ICIC0129160,active
ACC0000274,+919894821654,DEV000264,ADDR6567271776,3499,SBI,SBI0353052,reported
ACC0000275,+919828741832,DEV000265,ADDR1186807024,1543,Kotak,KOTA0403347,active
ACC0000276,+917081120501,DEV000266,ADDR5208271111,1775,SBI,SBI0387538,active
ACC0000277,+917784106590,DEV000267,ADDR6661273200,1720,PNB,PNB0942452,active
ACC0000278,+917486015900,DEV000268,ADDR9216861489,2863,PNB,PNB0541615,active
ACC0000279,+919918092402,DEV000269,ADDR9225114938,265,ICICI,ICIC0768700,active
ACC0000280,+919444690844,DEV000270,ADDR4075695278,329,Axis,AXIS0327119,reported
ACC0000281,+918936277190,DEV000271,ADDR367470015,1028,IndusInd,INDU0330916,active
ACC0000282,+919665079956,DEV000272,ADDR3559703820,1791,SBI,SBI0292739,active
ACC0000283,+918914505682,DEV000273,ADDR7862550059,2459,PNB,PNB0846311,active
ACC0000284,+919981022689,DEV000274,ADDR3076905524,1806,Kotak,KOTA0400985,active
ACC0000285,+918810021595,DEV000275,ADDR1181981462,1627,ICICI,ICIC0959879,reported
ACC0000286,+918303223229,DEV000276,ADDR5405790737,3424,Kotak,KOTA0496929,reported
ACC0000287,+919771062365,DEV000277,ADDR6767032837,612,ICICI,ICIC0470888,frozen
ACC0000288,+918910888866,DEV000278,ADDR6331694127,2099,ICICI,ICIC0780009,active
ACC0000289,+917030071059,DEV000279,ADDR4615387815,1992,Axis,AXIS0927276,active
ACC0000290,+919797831442,DEV000280,ADDR853264617,1744,SBI,SBI0897669,frozen
ACC0000291,+918332646844,DEV000281,ADDR694170047,2953,Yes Bank,YES 0802706,frozen
ACC0000292,+919961762510,DEV000282,ADDR4896384663,996,PNB,PNB0533176,active
ACC0000293,+919391338689,DEV000283,ADDR6972977643,3482,Yes Bank,YES 0997235,reported
ACC0000294,+918759380319,DEV000284,ADDR3095370930,1230,IndusInd,INDU0654027,active
ACC0000295,+919846592873,DEV000285,ADDR6373046920,2002,Yes Bank,YES 0398892,reported
ACC0000296,+917123327425,DEV000286,ADDR1077032425,1914,Axis,AXIS0962257,active
ACC0000297,+917352458929,DEV000287,ADDR2674450136,3106,ICICI,ICIC0908687,active
ACC0000298,+918733068291,DEV000288,ADDR575682066,1618,Kotak,KOTA0168218,active
ACC0000299,+918465799893,DEV000289,ADDR7783822736,1060,ICICI,ICIC0450418,active
ACC0000300,+918710937586,DEV000290,ADDR6112690986,108,ICICI,ICIC0411098,active
ACC0000301,+917297831436,DEV000291,ADDR4148153161,1346,SBI,SBI0884926,reported
ACC0000302,+917608628250,DEV000292,ADDR8061158156,3021,Kotak,KOTA0530774,frozen
ACC0000303,+918333168162,DEV000293,ADDR8972370714,65,SBI,SBI0870542,active
ACC0000304,+918874410768,DEV000294,ADDR4348426804,3274,SBI,SBI0310445,active
ACC0000305,+918768353474,DEV000295,ADDR2656155716,1995,SBI,SBI0449067,active
ACC0000306,+917577702305,DEV000296,ADDR6657708661,537,ICICI,ICIC0226969,frozen
