call_id,caller_id,callee_id,call_timestamp,call_duration_sec,is_spoofed_number,call_frequency_24h
CALL0000028,+917048048736,+917674722923,2024-09-22 10:00:00,5670,1,3
CALL0000029,+919632641634,+919632641634,2024-09-30 06:00:00,4767,1,11
CALL0000030,+917048048736,+919632641634,2024-03-04 05:00:00,5043,0,6
CALL0000031,+919632641634,+919632641634,2024-12-02 02:00:00,8719,1,15
CALL0000032,+917048048736,+917674722923,2024-12-26 06:00:00,6473,1,9
CALL0000033,+919632641634,+917048048736,2024-08-07 01:00:00,4676,0,14
CALL0000034,+919632641634,+919632641634,2024-12-18 10:00:00,8899,0,6
CALL0000035,+919632641634,+917048048736,2024-09-30 23:00:00,3242,0,15
CALL0000036,+919632641634,+917674722923,2024-10-13 16:00:00,10408,0,11
CALL0000037,+917048048736,+919632641634,2024-10-26 04:00:00,8541,1,7
CALL0000038,+919632641634,+917674722923,2024-05-07 15:00:00,562,0,15
CALL0000039,+919632641634,+917048048736,2024-05-13 05:00:00,3773,0,10
CALL0000040,+917048048736,+917048048736,2024-10-24 01:00:00,7954,1,14
CALL0000041,+919632641634,+917674722923,2024-02-12 14:00:00,2272,0,8
CALL0000042,+919632641634,+917674722923,2024-06-09 04:00:00,4805,1,9
CALL0000043,+919632641634,+917674722923,2024-09-19 07:00:00,7646,0,4
CALL0000044,+917048048736,+917048048736,2024-10-05 08:00:00,7150,1,4
CALL0000045,+919632641634,+919632641634,2024-10-26 17:00:00,7229,1,13
CALL0000046,+917674722923,+919632641634,2024-07-25 04:00:00,3145,1,6
CALL0000047,+917048048736,+917048048736,2024-07-10 13:00:00,9331,0,5
CALL0000048,+917048048736,+917674722923,2024-08-08 02:00:00,2364,1,13
CALL0000049,+917048048736,+919632641634,2024-02-25 19:00:00,5091,0,13
CALL0000050,+917048048736,+917674722923,2024-08-26 04:00:00,2907,0,9
CALL0000051,+917674722923,+919632641634,2024-07-07 15:00:00,3690,1,5
CALL0000052,+919632641634,+919632641634,2024-08-31 05:00:00,912,0,6
CALL0000053,+917408133592,+918846174030,2024-03-04 00:00:00,6081,0,8
CALL0000054,+919642125970,+917408133592,2024-03-17 12:00:00,9554,1,13
CALL0000055,+919642125970,+917408133592,2024-07-29 20:00:00,7505,1,14
CALL0000056,+917965542363,+917408133592,2024-10-25 01:00:00,7895,0,13
CALL0000057,+917408133592,+917408133592,2024-11-13 22:00:00,4166,0,14
CALL0000058,+917027656924,+917965542363,2024-02-25 22:00:00,6899,1,5
CALL0000059,+917408133592,+917408133592,2024-04-14 10:00:00,7163,0,13
CALL0000060,+918846174030,+919642125970,2024-03-26 19:00:00,4778,1,9
CALL0000061,+919642125970,+918388144477,2024-11-15 13:00:00,2603,0,8
CALL0000062,+919642125970,+919642125970,2024-02-04 00:00:00,7738,1,6
CALL0000063,+919642125970,+917408133592,2024-01-19 21:00:00,7870,1,12
CALL0000064,+917408133592,+917408133592,2024-10-09 09:00:00,402,0,8
CALL0000065,+918388144477,+917408133592,2024-04-17 07:00:00,7275,1,9
CALL0000066,+919642125970,+918388144477,2024-09-19 10:00:00,9980,1,4
CALL0000067,+919642125970,+917408133592,2024-01-04 00:00:00,10721,0,12
CALL0000068,+917408133592,+917965542363,2024-12-03 03:00:00,6052,0,7
CALL0000069,+917027656924,+919642125970,2024-09-04 15:00:00,5584,1,13
CALL0000070,+918846174030,+917408133592,2024-10-23 19:00:00,5015,0,15
CALL0000071,+919402108313,+918842233750,2024-12-30 00:00:00,10443,0,9
CALL0000072,+919402108313,+918842233750,2024-07-01 00:00:00,9414,0,14
CALL0000073,+919402108313,+919402108313,2024-09-20 02:00:00,9267,1,13
CALL0000074,+919402108313,+919402108313,2024-01-20 01:00:00,9040,0,9
CALL0000075,+918842233750,+919402108313,2024-08-19 22:00:00,8637,0,5
CALL0000076,+917637357708,+917637357708,2024-02-13 10:00:00,7249,1,15
CALL0000077,+917637357708,+917637357708,2024-07-05 16:00:00,5410,1,5
CALL0000078,+917637357708,+917637357708,2024-03-14 14:00:00,10274,0,15
CALL0000079,+917637357708,+917637357708,2024-01-02 12:00:00,4084,1,13
CALL0000080,+917637357708,+917637357708,2024-06-29 13:00:00,4774,1,6
CALL0000081,+917637357708,+917637357708,2024-01-19 19:00:00,6862,1,14
CALL0000082,+917637357708,+917637357708,2024-10-05 21:00:00,6345,1,2
CALL0000083,+917637357708,+917637357708,2024-05-08 02:00:00,1588,1,3
CALL0000084,+917637357708,+917637357708,2024-12-16 09:00:00,10009,0,2
CALL0000085,+917637357708,+917637357708,2024-07-27 20:00:00,3740,1,4
CALL0000086,+917637357708,+917637357708,2024-08-21 05:00:00,8397,0,2
CALL0000087,+917637357708,+917637357708,2024-10-25 18:00:00,1356,0,5
CALL0000088,+917637357708,+917637357708,2024-06-24 11:00:00,3776,0,14
CALL0000089,+917637357708,+917637357708,2024-07-08 05:00:00,9987,1,5
CALL0000090,+917637357708,+917637357708,2024-04-16 19:00:00,3034,1,6
CALL0000091,+917637357708,+917637357708,2024-03-02 06:00:00,7126,1,14
CALL0000092,+917637357708,+917637357708,2024-03-06 10:00:00,10083,0,11
CALL0000093,+919098738043,+919098738043,2024-02-11 20:00:00,4679,1,13
CALL0000094,+919098738043,+919098738043,2024-10-29 23:00:00,7972,0,4
CALL0000095,+919098738043,+919098738043,2024-10-31 06:00:00,8395,1,15
CALL0000096,+919098738043,+919098738043,2024-12-23 21:00:00,6127,0,9
CALL0000097,+919098738043,+919098738043,2024-01-11 08:00:00,10476,0,12
CALL0000098,+919098738043,+919098738043,2024-06-26 02:00:00,1939,0,14
CALL0000099,+919098738043,+919098738043,2024-03-17 15:00:00,1340,1,15
CALL0000100,+919098738043,+919098738043,2024-02-01 05:00:00,6543,0,9
CALL0000101,+919098738043,+919098738043,2024-05-22 03:00:00,7731,1,15
CALL0000102,+919019957238,+919424339172,2024-08-02 14:00:00,10252,0,6
CALL0000103,+917482576623,+917330096755,2024-06-08 12:00:00,10742,1,6
CALL0000104,+919019957238,+917482576623,2024-10-11 17:00:00,2450,0,11
CALL0000105,+919424339172,+917482576623,2024-09-01 22:00:00,1072,1,7
CALL0000106,+917330096755,+919019957238,2024-10-01 13:00:00,1658,0,8
CALL0000107,+917482576623,+919019957238,2024-01-16 11:00:00,524,1,2
CALL0000108,+919019957238,+917482576623,2024-06-15 18:00:00,4811,1,8
CALL0000109,+917482576623,+919019957238,2024-05-20 09:00:00,1472,1,7
CALL0000110,+918631245940,+918631245940,2024-12-28 00:00:00,4287,0,15
CALL0000111,+918631245940,+918631245940,2024-06-19 15:00:00,2390,1,9
CALL0000112,+918631245940,+918631245940,2024-12-11 07:00:00,6046,1,11
CALL0000113,+918631245940,+918631245940,2024-06-14 11:00:00,1210,1,12
CALL0000114,+918631245940,+918631245940,2024-05-13 18:00:00,3421,1,10
CALL0000115,+918631245940,+918631245940,2024-10-07 08:00:00,10741,1,13
CALL0000116,+918631245940,+918631245940,2024-03-04 11:00:00,7923,1,6
CALL0000117,+918631245940,+918631245940,2024-09-15 13:00:00,3056,1,4
CALL0000118,+918631245940,+918631245940,2024-11-03 12:00:00,592,0,8
CALL0000119,+918631245940,+918631245940,2024-12-08 06:00:00,9148,1,5
CALL0000120,+918631245940,+918631245940,2024-04-17 08:00:00,589,0,11
CALL0000121,+918631245940,+918631245940,2024-01-26 23:00:00,413,0,5
CALL0000122,+918631245940,+918631245940,2024-05-12 13:00:00,3671,1,15
CALL0000123,+918631245940,+918631245940,2024-10-17 05:00:00,2957,0,10
CALL0000124,+918631245940,+918631245940,2024-03-09 10:00:00,8794,1,10
CALL0000125,+918631245940,+918631245940,2024-07-19 01:00:00,6338,0,7
CALL0000126,+918631245940,+918631245940,2024-11-22 02:00:00,9349,0,2
CALL0000127,+918631245940,+918631245940,2024-07-28 00:00:00,1340,0,11
CALL0000128,+917668026178,+919319027779,2024-07-15 09:00:00,3700,1,10
CALL0000129,+919319027779,+919319027779,2024-06-03 16:00:00,5851,0,15
CALL0000130,+919319027779,+919319027779,2024-10-13 14:00:00,7707,1,12
CALL0000131,+919319027779,+919319027779,2024-11-20 16:00:00,6117,1,14
CALL0000132,+917668026178,+919319027779,2024-04-24 09:00:00,5652,0,12
CALL0000133,+919810997460,+919319027779,2024-04-29 07:00:00,2913,1,6
CALL0000134,+919319027779,+919810997460,2024-02-16 00:00:00,5213,1,2
CALL0000135,+919193320307,+919193320307,2024-05-09 08:00:00,9619,1,9
CALL0000136,+919193320307,+919193320307,2024-08-01 01:00:00,2152,1,2
CALL0000137,+919193320307,+919193320307,2024-03-14 05:00:00,7304,1,5
CALL0000138,+919193320307,+919193320307,2024-04-25 14:00:00,7829,0,15
CALL0000139,+919193320307,+919193320307,2024-11-29 10:00:00,2130,0,15
CALL0000140,+919193320307,+919193320307,2024-08-02 22:00:00,2415,0,11
CALL0000141,+919193320307,+919193320307,2024-04-22 10:00:00,3411,0,14
CALL0000142,+919193320307,+919193320307,2024-01-10 22:00:00,10792,0,14
CALL0000143,+919193320307,+919193320307,2024-07-08 08:00:00,3855,1,7
CALL0000144,+919193320307,+919193320307,2024-12-09 17:00:00,1939,1,12
CALL0000145,+919601766249,+919601766249,2024-09-16 16:00:00,7458,1,7
CALL0000146,+919601766249,+919601766249,2024-03-13 01:00:00,633,0,11
CALL0000147,+919601766249,+919601766249,2024-02-21 01:00:00,10708,1,7
CALL0000148,+919601766249,+919601766249,2024-12-16 12:00:00,2459,1,14
CALL0000149,+919601766249,+919601766249,2024-11-16 10:00:00,7102,0,12
CALL0000150,+919601766249,+919601766249,2024-09-22 04:00:00,6536,1,12
CALL0000151,+919601766249,+919601766249,2024-08-10 00:00:00,3161,0,14
CALL0000152,+919601766249,+919601766249,2024-09-06 20:00:00,7364,1,11
CALL0000153,+919601766249,+919601766249,2024-11-16 13:00:00,2372,0,5
CALL0000154,+919601766249,+919601766249,2024-04-28 10:00:00,9650,1,15
CALL0000155,+919601766249,+919601766249,2024-01-22 21:00:00,6552,0,9
CALL0000156,+919601766249,+919601766249,2024-10-16 23:00:00,1864,0,8
CALL0000157,+919601766249,+919601766249,2024-11-26 15:00:00,6175,1,12
CALL0000158,+917775062132,+917775062132,2024-02-27 20:00:00,942,0,5
CALL0000159,+917775062132,+919060841415,2024-03-19 01:00:00,300,0,8
CALL0000160,+919060841415,+917775062132,2024-07-12 06:00:00,10391,0,9
CALL0000161,+917775062132,+917775062132,2024-08-05 07:00:00,9390,0,8
CALL0000162,+919060841415,+917775062132,2024-09-16 19:00:00,2510,1,3
CALL0000163,+918641284227,+917726231716,2024-10-15 21:00:00,4441,1,7
CALL0000164,+918641284227,+917726231716,2024-05-31 09:00:00,604,1,8
CALL0000165,+917726231716,+917536840387,2024-10-08 08:00:00,9279,0,3
CALL0000166,+917726231716,+917726231716,2024-01-19 01:00:00,5541,0,14
CALL0000167,+917726231716,+917726231716,2024-01-24 12:00:00,3889,1,2
CALL0000168,+917726231716,+917726231716,2024-05-01 09:00:00,9973,0,7
CALL0000169,+917536840387,+918641284227,2024-10-04 18:00:00,1996,1,15
CALL0000170,+918641284227,+918641284227,2024-02-02 08:00:00,2372,0,15
CALL0000171,+917726231716,+917536840387,2024-12-12 14:00:00,6698,1,9
CALL0000172,+917726231716,+917726231716,2024-09-29 09:00:00,4512,1,4
CALL0000173,+918641284227,+917726231716,2024-04-28 03:00:00,931,1,15
CALL0000174,+917536840387,+918641284227,2024-03-20 01:00:00,8151,1,11
CALL0000175,+917726231716,+917726231716,2024-05-02 10:00:00,10569,1,9
CALL0000176,+917726231716,+918641284227,2024-01-24 09:00:00,9560,0,3
CALL0000177,+917726231716,+917726231716,2024-02-14 03:00:00,473,1,15
CALL0000178,+917726231716,+917536840387,2024-01-14 12:00:00,3336,0,4
CALL0000179,+917726231716,+917726231716,2024-11-09 13:00:00,2880,1,10
CALL0000180,+917536840387,+917726231716,2024-08-11 18:00:00,5341,0,4
CALL0000181,+917536840387,+918641284227,2024-08-27 10:00:00,2446,1,12
CALL0000182,+918641284227,+917726231716,2024-11-15 22:00:00,8044,1,7
CALL0000183,+917726231716,+918641284227,2024-05-09 19:00:00,3885,1,3
CALL0000184,+917726231716,+918641284227,2024-12-27 14:00:00,9973,0,11
CALL0000185,+918641284227,+917726231716,2024-10-07 12:00:00,1524,0,6
CALL0000186,+917726231716,+917726231716,2024-07-06 17:00:00,468,0,3
CALL0000187,+918641284227,+917726231716,2024-03-14 16:00:00,1654,1,3
CALL0000188,+917726231716,+917726231716,2024-10-02 21:00:00,9243,1,13
CALL0000189,+919476777301,+919476777301,2024-02-08 17:00:00,4217,1,6
CALL0000190,+919476777301,+917456241916,2024-11-09 15:00:00,2521,0,13
CALL0000191,+919476777301,+919476777301,2024-05-23 21:00:00,8255,1,11
CALL0000192,+919476777301,+917456241916,2024-04-07 06:00:00,8544,1,5
CALL0000193,+919476777301,+917456241916,2024-09-26 18:00:00,1638,0,12
CALL0000194,+919476777301,+919476777301,2024-07-18 09:00:00,4521,0,6
CALL0000195,+919476777301,+917456241916,2024-10-20 05:00:00,5873,1,10
CALL0000196,+919445114499,+919445114499,2024-08-23 14:00:00,4249,0,7
CALL0000197,+919445114499,+919067650093,2024-04-15 06:00:00,3453,0,6
CALL0000198,+919445114499,+919445114499,2024-03-28 22:00:00,8787,1,4
CALL0000199,+919445114499,+919445114499,2024-10-12 19:00:00,7843,1,11
CALL0000200,+919445114499,+919445114499,2024-11-16 14:00:00,8244,1,3
CALL0000201,+919445114499,+919445114499,2024-12-21 16:00:00,1044,1,13
CALL0000202,+919445114499,+919445114499,2024-05-30 20:00:00,10296,0,8
CALL0000203,+919067650093,+919445114499,2024-10-08 02:00:00,1736,1,12
CALL0000204,+919445114499,+919445114499,2024-12-15 00:00:00,1346,1,13
CALL0000205,+917244279211,+919067650093,2024-11-15 04:00:00,2326,0,10
CALL0000206,+919335112845,+919335112845,2024-05-30 14:00:00,5164,1,15
CALL0000207,+918568154269,+919335112845,2024-07-30 15:00:00,6443,1,11
CALL0000208,+918568154269,+919335112845,2024-07-01 10:00:00,3984,1,13
CALL0000209,+919335112845,+919335112845,2024-01-13 14:00:00,8034,0,9
CALL0000210,+919335112845,+918568154269,2024-12-17 23:00:00,7531,0,14
CALL0000211,+919767548002,+919335112845,2024-08-29 06:00:00,4504,1,15
CALL0000212,+918568154269,+919335112845,2024-02-24 06:00:00,1465,1,14
CALL0000213,+919335112845,+919335112845,2024-10-22 07:00:00,2493,1,10
CALL0000214,+918568154269,+918320447859,2024-06-01 19:00:00,3545,1,3
CALL0000215,+919335112845,+918320447859,2024-06-05 15:00:00,1386,1,13
CALL0000216,+918320447859,+918568154269,2024-05-22 13:00:00,9373,1,9
CALL0000217,+919767548002,+918320447859,2024-03-13 09:00:00,6172,0,7
CALL0000218,+919767548002,+918568154269,2024-04-20 02:00:00,1407,1,13
CALL0000219,+919767548002,+919335112845,2024-03-22 02:00:00,337,0,14
CALL0000220,+919335112845,+919767548002,2024-04-10 01:00:00,3695,0,3
CALL0000221,+919616182892,+918637226249,2024-02-20 16:00:00,3321,0,11
CALL0000222,+918637226249,+918637226249,2024-03-05 06:00:00,8306,1,13
CALL0000223,+918637226249,+918637226249,2024-06-13 07:00:00,8507,1,9
CALL0000224,+918637226249,+919616182892,2024-03-14 06:00:00,4398,0,11
CALL0000225,+919616182892,+918637226249,2024-11-09 09:00:00,9746,1,8
CALL0000226,+918637226249,+918637226249,2024-09-23 14:00:00,9639,1,3
CALL0000227,+918637226249,+919616182892,2024-06-02 15:00:00,897,1,4
CALL0000228,+918637226249,+919616182892,2024-05-06 17:00:00,10276,1,3
CALL0000229,+919616182892,+918637226249,2024-10-08 18:00:00,7861,0,7
CALL0000230,+918637226249,+918637226249,2024-06-06 02:00:00,4950,0,14
CALL0000231,+918637226249,+918637226249,2024-03-13 01:00:00,7207,1,12
CALL0000232,+919616182892,+918637226249,2024-09-10 04:00:00,5419,1,13
CALL0000233,+919616182892,+918637226249,2024-12-21 01:00:00,5518,1,13
CALL0000234,+918637226249,+918637226249,2024-10-23 15:00:00,5284,1,13
CALL0000235,+917048048736,+917048048736,2024-02-22 08:00:00,10132,1,6
CALL0000236,+917048048736,+917048048736,2024-01-29 05:00:00,4185,1,7
CALL0000237,+917048048736,+917048048736,2024-10-06 23:00:00,7599,1,4
CALL0000238,+917048048736,+917048048736,2024-11-08 19:00:00,3414,0,9
CALL0000239,+917048048736,+917048048736,2024-09-24 03:00:00,10180,1,6
CALL0000240,+917048048736,+917048048736,2024-05-23 14:00:00,1828,0,5
CALL0000241,+917048048736,+917048048736,2024-10-28 00:00:00,9607,1,6
CALL0000242,+917048048736,+917048048736,2024-04-02 05:00:00,5544,1,15
CALL0000243,+917048048736,+917048048736,2024-05-24 09:00:00,5754,1,2
CALL0000244,+917048048736,+917048048736,2024-11-22 14:00:00,5486,1,10
CALL0000245,+917048048736,+917048048736,2024-05-31 19:00:00,8820,1,12
CALL0000246,+917048048736,+917048048736,2024-06-27 19:00:00,10756,1,12
CALL0000247,+917048048736,+917048048736,2024-11-21 23:00:00,1557,1,2
CALL0000248,+917048048736,+917048048736,2024-02-09 12:00:00,4054,1,6
CALL0000249,+917048048736,+917048048736,2024-07-27 08:00:00,5250,1,15
CALL0000250,+917048048736,+917048048736,2024-10-31 20:00:00,7702,1,7
CALL0000251,+917048048736,+917048048736,2024-08-10 11:00:00,10365,1,13
CALL0000252,+917048048736,+917048048736,2024-09-13 14:00:00,1973,0,14
CALL0000253,+917048048736,+917048048736,2024-06-15 11:00:00,10016,0,9
CALL0000254,+919264248130,+919264248130,2024-08-16 09:00:00,6463,0,8
CALL0000255,+919264248130,+919620488464,2024-01-13 20:00:00,8875,1,5
CALL0000256,+919620488464,+919264248130,2024-05-07 01:00:00,9525,0,4
CALL0000257,+919264248130,+919264248130,2024-07-06 11:00:00,1564,1,10
CALL0000258,+919264248130,+919620488464,2024-07-29 17:00:00,3062,0,10
CALL0000259,+919264248130,+919620488464,2024-12-16 01:00:00,4469,1,6
CALL0000260,+919620488464,+919264248130,2024-08-27 15:00:00,1244,1,15
CALL0000261,+919264248130,+919264248130,2024-05-28 13:00:00,7644,1,14
CALL0000262,+919866708161,+918194743590,2024-07-09 14:00:00,5184,1,2
CALL0000263,+918194743590,+919866708161,2024-12-26 19:00:00,5861,1,7
CALL0000264,+919866708161,+919565982361,2024-08-08 22:00:00,1223,0,13
CALL0000265,+918194743590,+918194743590,2024-10-06 22:00:00,5010,1,13
CALL0000266,+919866708161,+919565982361,2024-10-22 17:00:00,4337,1,8
CALL0000267,+918194743590,+919866708161,2024-05-05 13:00:00,4865,0,6
CALL0000268,+918194743590,+918194743590,2024-10-11 09:00:00,10513,1,9
CALL0000269,+919866708161,+918194743590,2024-04-25 14:00:00,3935,0,11
CALL0000270,+919565982361,+918194743590,2024-01-07 01:00:00,6720,0,4
CALL0000271,+919866708161,+918194743590,2024-05-08 18:00:00,8912,0,2
CALL0000272,+919565982361,+919866708161,2024-07-27 23:00:00,4919,1,14
CALL0000273,+919421316532,+917510478408,2024-09-02 08:00:00,5751,0,4
CALL0000274,+919421316532,+917510478408,2024-08-16 07:00:00,5495,1,15
CALL0000275,+919131370708,+917510478408,2024-09-14 09:00:00,2461,1,11
CALL0000276,+919421316532,+918756213619,2024-09-09 08:00:00,1954,1,5
CALL0000277,+917510478408,+917510478408,2024-03-05 01:00:00,2617,1,13
CALL0000278,+917510478408,+918756213619,2024-01-11 09:00:00,8785,0,2
CALL0000279,+917510478408,+919421316532,2024-08-12 12:00:00,3886,1,15
CALL0000280,+917510478408,+919421316532,2024-05-09 00:00:00,7767,0,3
CALL0000281,+919131370708,+919421316532,2024-11-25 16:00:00,3604,1,12
CALL0000282,+919131370708,+917510478408,2024-11-22 00:00:00,1767,1,13
CALL0000283,+919421316532,+918756213619,2024-05-07 08:00:00,1878,0,4
CALL0000284,+917510478408,+919421316532,2024-05-07 03:00:00,1284,1,2
CALL0000285,+919421316532,+918756213619,2024-08-26 15:00:00,3934,0,10
CALL0000286,+919421316532,+918756213619,2024-05-20 23:00:00,3651,0,6
CALL0000287,+917510478408,+919131370708,2024-06-19 04:00:00,10735,0,15
CALL0000288,+918756213619,+919421316532,2024-03-06 21:00:00,8535,1,5
CALL0000289,+917510478408,+919131370708,2024-10-23 19:00:00,2497,1,11
CALL0000290,+918756213619,+919131370708,2024-10-20 00:00:00,7017,0,14
CALL0000291,+919011011203,+919023783267,2024-11-28 05:00:00,8072,1,5
CALL0000292,+919701593450,+919023783267,2024-01-01 09:00:00,9493,1,3
CALL0000293,+919701593450,+919011011203,2024-02-09 19:00:00,8621,1,7
CALL0000294,+919701593450,+919011011203,2024-11-12 22:00:00,3357,0,15
CALL0000295,+919701593450,+919701593450,2024-08-26 02:00:00,866,1,9
CALL0000296,+919798007223,+919798007223,2024-06-17 12:00:00,5899,1,4
CALL0000297,+919798007223,+919798007223,2024-03-11 07:00:00,3354,0,7
CALL0000298,+919798007223,+919798007223,2024-06-30 14:00:00,789,1,7
CALL0000299,+919798007223,+919798007223,2024-11-07 05:00:00,9274,1,14
CALL0000300,+919798007223,+919798007223,2024-02-13 17:00:00,2197,1,3
CALL0000301,+919798007223,+919798007223,2024-08-08 09:00:00,10263,1,5
CALL0000302,+919798007223,+919798007223,2024-02-20 18:00:00,2354,1,8
CALL0000303,+919798007223,+919798007223,2024-12-01 03:00:00,1547,0,7
CALL0000304,+919798007223,+919798007223,2024-05-16 00:00:00,9399,0,12
CALL0000305,+919798007223,+919798007223,2024-05-28 04:00:00,7161,1,6
CALL0000306,+919798007223,+919798007223,2024-01-27 05:00:00,1263,0,9
CALL0000307,+919798007223,+919798007223,2024-01-16 12:00:00,3108,0,13
CALL0000308,+919798007223,+919798007223,2024-10-12 08:00:00,2652,0,4
CALL0000309,+917658958961,+917658958961,2024-01-06 10:00:00,10010,0,6
CALL0000310,+917658958961,+917658958961,2024-11-14 09:00:00,9138,1,5
CALL0000311,+917658958961,+917658958961,2024-01-16 02:00:00,5207,1,9
CALL0000312,+917658958961,+917658958961,2024-12-10 16:00:00,5599,1,2
CALL0000313,+917658958961,+917658958961,2024-10-13 05:00:00,930,0,15
CALL0000314,+917658958961,+917658958961,2024-05-30 18:00:00,7231,0,13
CALL0000315,+917658958961,+917658958961,2024-08-27 00:00:00,4842,1,12
CALL0000316,+917658958961,+917658958961,2024-02-12 16:00:00,5652,1,4
CALL0000317,+917658958961,+917658958961,2024-07-25 11:00:00,1361,0,7
CALL0000318,+917658958961,+917658958961,2024-08-24 06:00:00,7325,1,5
CALL0000319,+917658958961,+917658958961,2024-09-29 11:00:00,9464,0,9
CALL0000320,+917658958961,+917658958961,2024-03-04 07:00:00,4250,0,4
CALL0000321,+919092829436,+919092829436,2024-03-13 14:00:00,9014,1,5
CALL0000322,+919092829436,+919092829436,2024-04-16 18:00:00,1130,0,2
CALL0000323,+919092829436,+919092829436,2024-08-07 05:00:00,3229,0,8
CALL0000324,+919092829436,+919092829436,2024-05-17 14:00:00,5768,1,12
CALL0000325,+919092829436,+919092829436,2024-02-25 14:00:00,5606,0,9
CALL0000326,+919092829436,+919092829436,2024-02-06 14:00:00,9824,0,9
CALL0000327,+919092829436,+919092829436,2024-09-15 05:00:00,1983,1,13
CALL0000328,+919092829436,+919092829436,2024-02-19 05:00:00,9811,0,13
CALL0000329,+919092829436,+919092829436,2024-02-18 03:00:00,9702,0,7
CALL0000330,+919092829436,+919092829436,2024-05-05 11:00:00,4002,1,13
CALL0000331,+919092829436,+919092829436,2024-03-11 07:00:00,4468,1,13
CALL0000332,+919092829436,+919092829436,2024-03-31 23:00:00,10587,1,6
CALL0000333,+919092829436,+919092829436,2024-11-03 08:00:00,2307,0,5
CALL0000334,+919092829436,+919092829436,2024-10-15 07:00:00,8037,0,7
CALL0000335,+919572218657,+919572218657,2024-09-10 14:00:00,3736,1,12
CALL0000336,+919572218657,+919572218657,2024-06-29 16:00:00,6282,1,10
CALL0000337,+919572218657,+919572218657,2024-10-11 04:00:00,663,1,14
CALL0000338,+919572218657,+919572218657,2024-05-27 18:00:00,1066,0,12
CALL0000339,+919572218657,+919572218657,2024-12-03 01:00:00,7335,1,6
CALL0000340,+918506154522,+918506154522,2024-10-12 13:00:00,2769,0,14
CALL0000341,+918506154522,+918506154522,2024-04-03 09:00:00,9254,1,13
CALL0000342,+918506154522,+918506154522,2024-09-15 19:00:00,4910,0,13
CALL0000343,+918506154522,+918506154522,2024-05-03 04:00:00,9883,1,5
CALL0000344,+918506154522,+918506154522,2024-05-01 21:00:00,3252,1,4
CALL0000345,+918506154522,+918506154522,2024-02-06 15:00:00,4812,1,12
CALL0000346,+918506154522,+918506154522,2024-02-25 04:00:00,1814,0,13
CALL0000347,+918506154522,+918506154522,2024-12-17 20:00:00,4440,1,12
CALL0000348,+918506154522,+918506154522,2024-03-26 21:00:00,623,1,4
CALL0000349,+918506154522,+918506154522,2024-08-08 13:00:00,10292,1,4
CALL0000350,+918506154522,+918506154522,2024-08-06 15:00:00,1283,0,11
CALL0000351,+917289863524,+917289863524,2024-08-02 17:00:00,9655,0,15
CALL0000352,+917102623168,+917289863524,2024-06-12 02:00:00,10302,1,7
CALL0000353,+917289863524,+917289863524,2024-10-22 08:00:00,7311,0,8
CALL0000354,+917289863524,+917289863524,2024-11-10 01:00:00,8799,1,9
CALL0000355,+917102623168,+917289863524,2024-11-07 04:00:00,3735,1,4
CALL0000356,+917289863524,+917289863524,2024-08-18 06:00:00,7756,0,14
CALL0000357,+917102623168,+917289863524,2024-10-27 21:00:00,5487,0,13
