report_id,victim_id,reported_account_id,reported_phone,complaint_timestamp,complaint_type,amount_lost,jurisdiction_state,jurisdiction_district,ncrb_category_code,evidence_attached
RPT0000060,VIC591081,ACC0000144,+919411125267,2024-11-21 13:00:00,counterfeit_currency,2040.32,Karnataka,Karnataka_D1,NCRB-CC-03,1
RPT0000061,VIC337743,ACC0000144,+919411125267,2024-11-27 22:00:00,investment_scam,2827.12,Karnataka,Karnataka_D1,NCRB-IS-05,1
RPT0000062,VIC406472,ACC0000148,+917742407575,2024-09-11 21:00:00,phishing,5322.3,Delhi,Delhi_D3,NCRB-PH-04,1
RPT0000063,VIC636272,ACC0000148,+917742407575,2024-05-06 17:00:00,investment_scam,5379.71,Delhi,Delhi_D3,NCRB-IS-05,0
RPT0000064,VIC659454,ACC0000150,+918393370423,2024-09-26 18:00:00,digital_arrest,109.53,Karnataka,Karnataka_D3,NCRB-DA-01,1
RPT0000065,VIC563691,ACC0000154,+918308435560,2024-11-10 01:00:00,phishing,223.02,Tamil Nadu,TamilNadu_D3,NCRB-PH-04,0
RPT0000066,VIC220241,ACC0000160,+917186700273,2024-06-23 04:00:00,phishing,436.63,Gujarat,Gujarat_D3,NCRB-PH-04,0
RPT0000067,VIC691805,ACC0000160,+917186700273,2024-05-14 00:00:00,UPI_fraud,491.31,Gujarat,Gujarat_D3,NCRB-UPI-02,1
RPT0000068,VIC913582,ACC0000161,+919239144808,2024-03-21 04:00:00,UPI_fraud,100.68,Karnataka,Karnataka_D3,NCRB-UPI-02,1
RPT0000069,VIC819404,ACC0000166,+918648560034,2024-12-12 15:00:00,investment_scam,294.82,Andhra Pradesh,AndhraPradesh_D3,NCRB-IS-05,0
RPT0000070,VIC504911,ACC0000166,+918648560034,2024-02-02 19:00:00,counterfeit_currency,275.97,Andhra Pradesh,AndhraPradesh_D3,NCRB-CC-03,0
RPT0000071,VIC373573,ACC0000166,+918648560034,2024-03-23 11:00:00,phishing,481.76,Andhra Pradesh,AndhraPradesh_D3,NCRB-PH-04,0
RPT0000072,VIC590004,ACC0000169,+918784923817,2024-12-22 15:00:00,counterfeit_currency,210.6,Maharashtra,Maharashtra_D2,NCRB-CC-03,1
RPT0000073,VIC842997,ACC0000178,+918786882113,2024-12-04 18:00:00,investment_scam,290.71,Karnataka,Karnataka_D1,NCRB-IS-05,0
RPT0000074,VIC195208,ACC0000180,+917937271686,2024-02-18 10:00:00,UPI_fraud,478.08,Maharashtra,Maharashtra_D1,NCRB-UPI-02,0
RPT0000075,VIC386174,ACC0000183,+917848959686,2024-09-07 14:00:00,investment_scam,1592.61,West Bengal,WestBengal_D3,NCRB-IS-05,1
RPT0000076,VIC922195,ACC0000183,+917848959686,2024-02-15 22:00:00,investment_scam,787.61,West Bengal,WestBengal_D3,NCRB-IS-05,0
RPT0000077,VIC919885,ACC0000185,+918622176203,2024-11-10 10:00:00,digital_arrest,170.34,Uttar Pradesh,UttarPradesh_D3,NCRB-DA-01,1
RPT0000078,VIC247807,ACC0000185,+918622176203,2024-09-19 18:00:00,investment_scam,192.29,Uttar Pradesh,UttarPradesh_D3,NCRB-IS-05,1
RPT0000079,VIC641989,ACC0000189,+917741188470,2024-07-25 20:00:00,phishing,52.73,Delhi,Delhi_D1,NCRB-PH-04,0
RPT0000080,VIC924368,ACC0000200,+918146205566,2024-11-11 21:00:00,counterfeit_currency,112.56,Andhra Pradesh,AndhraPradesh_D1,NCRB-CC-03,1
RPT0000081,VIC258259,ACC0000202,+919193425810,2024-03-08 08:00:00,counterfeit_currency,506.77,Maharashtra,Maharashtra_D1,NCRB-CC-03,0
RPT0000082,VIC790937,ACC0000202,+919193425810,2024-12-15 01:00:00,phishing,384.28,Maharashtra,Maharashtra_D1,NCRB-PH-04,1
RPT0000083,VIC333922,ACC0000202,+919193425810,2024-05-31 23:00:00,digital_arrest,592.76,Maharashtra,Maharashtra_D1,NCRB-DA-01,0
RPT0000084,VIC717333,ACC0000203,+917409414786,2024-12-20 13:00:00,counterfeit_currency,557.27,Uttar Pradesh,UttarPradesh_D3,NCRB-CC-03,0
RPT0000085,VIC823028,ACC0000204,+918740450607,2024-08-28 09:00:00,UPI_fraud,159.27,Rajasthan,Rajasthan_D1,NCRB-UPI-02,1
RPT0000086,VIC533880,ACC0000204,+918740450607,2024-04-03 15:00:00,counterfeit_currency,279.67,Rajasthan,Rajasthan_D1,NCRB-CC-03,0
RPT0000087,VIC140472,ACC0000209,+918127050739,2024-12-24 19:00:00,UPI_fraud,243.65,Maharashtra,Maharashtra_D3,NCRB-UPI-02,1
RPT0000088,VIC960779,ACC0000209,+918127050739,2024-09-20 16:00:00,counterfeit_currency,248.78,Maharashtra,Maharashtra_D3,NCRB-CC-03,0
RPT0000089,VIC737740,ACC0000210,+917412039175,2024-11-10 04:00:00,digital_arrest,4246.81,Uttar Pradesh,UttarPradesh_D1,NCRB-DA-01,1
RPT0000090,VIC563446,ACC0000210,+917412039175,2024-01-11 03:00:00,counterfeit_currency,5161.31,Uttar Pradesh,UttarPradesh_D1,NCRB-CC-03,1
RPT0000091,VIC939581,ACC0000222,+918772453972,2024-05-24 02:00:00,digital_arrest,313.49,Delhi,Delhi_D3,NCRB-DA-01,1
RPT0000092,VIC943582,ACC0000224,+918295624809,2024-09-30 10:00:00,UPI_fraud,464.77,Karnataka,Karnataka_D1,NCRB-UPI-02,1
RPT0000093,VIC759540,ACC0000224,+918295624809,2024-01-26 14:00:00,UPI_fraud,307.41,Karnataka,Karnataka_D1,NCRB-UPI-02,1
RPT0000094,VIC255781,ACC0000225,+919798430629,2024-03-30 19:00:00,investment_scam,122.59,Uttar Pradesh,UttarPradesh_D3,NCRB-IS-05,1
RPT0000095,VIC781523,ACC0000227,+919706235517,2024-08-18 05:00:00,counterfeit_currency,220.44,West Bengal,WestBengal_D2,NCRB-CC-03,0
RPT0000096,VIC168272,ACC0000233,+917410149753,2024-09-08 02:00:00,UPI_fraud,2753.67,Delhi,Delhi_D2,NCRB-UPI-02,0
RPT0000097,VIC763912,ACC0000239,+917125356975,2024-07-03 16:00:00,digital_arrest,2024.8,Telangana,Telangana_D1,NCRB-DA-01,1
RPT0000098,VIC910542,ACC0000239,+917125356975,2024-11-28 14:00:00,phishing,1261.87,Telangana,Telangana_D1,NCRB-PH-04,1
RPT0000099,VIC621935,ACC0000241,+917070505482,2024-10-14 15:00:00,digital_arrest,1434.31,West Bengal,WestBengal_D3,NCRB-DA-01,1
RPT0000100,VIC169168,ACC0000241,+917070505482,2024-01-05 21:00:00,UPI_fraud,2339.53,West Bengal,WestBengal_D3,NCRB-UPI-02,1
RPT0000101,VIC536734,ACC0000241,+917070505482,2024-09-23 00:00:00,digital_arrest,2120.18,West Bengal,WestBengal_D3,NCRB-DA-01,0
RPT0000102,VIC912309,ACC0000245,+918641284227,2024-05-20 08:00:00,phishing,140.52,Maharashtra,Maharashtra_D1,NCRB-PH-04,1
RPT0000103,VIC558982,ACC0000246,+917597738343,2024-06-18 09:00:00,phishing,244.21,West Bengal,WestBengal_D1,NCRB-PH-04,1
RPT0000104,VIC647374,ACC0000252,+917667054788,2024-09-23 06:00:00,counterfeit_currency,371.65,Karnataka,Karnataka_D1,NCRB-CC-03,1
RPT0000105,VIC993641,ACC0000258,+918140496473,2024-01-13 17:00:00,UPI_fraud,414.95,Gujarat,Gujarat_D3,NCRB-UPI-02,1
RPT0000106,VIC836248,ACC0000259,+919362224307,2024-11-27 08:00:00,UPI_fraud,340.78,Delhi,Delhi_D2,NCRB-UPI-02,1
RPT0000107,VIC858219,ACC0000259,+919362224307,2024-01-17 05:00:00,counterfeit_currency,348.99,Delhi,Delhi_D2,NCRB-CC-03,1
RPT0000108,VIC713259,ACC0000260,+919510404935,2024-04-16 20:00:00,investment_scam,184.0,Maharashtra,Maharashtra_D1,NCRB-IS-05,1
RPT0000109,VIC211324,ACC0000260,+919510404935,2024-02-14 06:00:00,digital_arrest,106.35,Maharashtra,Maharashtra_D1,NCRB-DA-01,1
RPT0000110,VIC329490,ACC0000262,+917287458205,2024-03-20 10:00:00,counterfeit_currency,569.98,West Bengal,WestBengal_D1,NCRB-CC-03,1
RPT0000111,VIC907148,ACC0000264,+919044226851,2024-02-21 23:00:00,UPI_fraud,277.1,Delhi,Delhi_D3,NCRB-UPI-02,0
RPT0000112,VIC601043,ACC0000269,+919614403443,2024-01-01 17:00:00,UPI_fraud,449.41,Karnataka,Karnataka_D2,NCRB-UPI-02,1
RPT0000113,VIC763999,ACC0000274,+919894821654,2024-12-20 11:00:00,UPI_fraud,446.3,Rajasthan,Rajasthan_D2,NCRB-UPI-02,1
RPT0000114,VIC507365,ACC0000280,+919444690844,2024-06-27 04:00:00,phishing,2318.86,Andhra Pradesh,AndhraPradesh_D1,NCRB-PH-04,1
RPT0000115,VIC756198,ACC0000285,+918810021595,2024-10-13 22:00:00,counterfeit_currency,173.52,Delhi,Delhi_D1,NCRB-CC-03,0
RPT0000116,VIC713009,ACC0000286,+918303223229,2024-08-17 09:00:00,UPI_fraud,17648.23,Maharashtra,Maharashtra_D2,NCRB-UPI-02,0
RPT0000117,VIC775122,ACC0000287,+919771062365,2024-12-28 05:00:00,phishing,720.44,Tamil Nadu,TamilNadu_D3,NCRB-PH-04,1
RPT0000118,VIC154365,ACC0000287,+919771062365,2024-03-10 20:00:00,phishing,696.61,Tamil Nadu,TamilNadu_D3,NCRB-PH-04,1
RPT0000119,VIC848442,ACC0000290,+919797831442,2024-02-29 13:00:00,counterfeit_currency,185.38,Telangana,Telangana_D1,NCRB-CC-03,1
RPT0000120,VIC945944,ACC0000290,+919797831442,2024-11-16 03:00:00,phishing,283.23,Telangana,Telangana_D1,NCRB-PH-04,1
RPT0000121,VIC791003,ACC0000291,+918332646844,2024-09-05 14:00:00,counterfeit_currency,519.25,Maharashtra,Maharashtra_D1,NCRB-CC-03,1
RPT0000122,VIC821449,ACC0000291,+918332646844,2024-01-17 07:00:00,digital_arrest,500.64,Maharashtra,Maharashtra_D1,NCRB-DA-01,0
RPT0000123,VIC401825,ACC0000293,+919391338689,2024-09-02 04:00:00,investment_scam,249.36,Andhra Pradesh,AndhraPradesh_D3,NCRB-IS-05,0
RPT0000124,VIC686099,ACC0000295,+919846592873,2024-03-12 03:00:00,UPI_fraud,2684.95,Maharashtra,Maharashtra_D1,NCRB-UPI-02,1
RPT0000125,VIC393446,ACC0000295,+919846592873,2024-04-27 07:00:00,UPI_fraud,3198.72,Maharashtra,Maharashtra_D1,NCRB-UPI-02,0
RPT0000126,VIC824610,ACC0000301,+917297831436,2024-09-03 19:00:00,phishing,130.96,Maharashtra,Maharashtra_D1,NCRB-PH-04,1
RPT0000127,VIC791071,ACC0000302,+917608628250,2024-08-03 03:00:00,counterfeit_currency,905.11,Delhi,Delhi_D2,NCRB-CC-03,0
RPT0000128,VIC817683,ACC0000306,+917577702305,2024-01-21 02:00:00,counterfeit_currency,298.92,West Bengal,WestBengal_D3,NCRB-CC-03,0
RPT0000129,VIC534187,ACC0000313,+918596439084,2024-04-29 16:00:00,investment_scam,194.8,Maharashtra,Maharashtra_D2,NCRB-IS-05,1
RPT0000130,VIC524739,ACC0000316,+917581894954,2024-08-13 20:00:00,UPI_fraud,108.62,Gujarat,Gujarat_D2,NCRB-UPI-02,1
RPT0000131,VIC351371,ACC0000317,+919155649480,2024-12-03 06:00:00,investment_scam,271.7,Tamil Nadu,TamilNadu_D1,NCRB-IS-05,1
RPT0000132,VIC895395,ACC0000320,+917751716758,2024-02-29 23:00:00,digital_arrest,252.06,Uttar Pradesh,UttarPradesh_D1,NCRB-DA-01,1
RPT0000133,VIC301963,ACC0000328,+918255851186,2024-04-24 14:00:00,phishing,333.99,Telangana,Telangana_D3,NCRB-PH-04,0
RPT0000134,VIC891896,ACC0000330,+918232682802,2024-02-11 10:00:00,counterfeit_currency,203.15,Uttar Pradesh,UttarPradesh_D3,NCRB-CC-03,0
RPT0000135,VIC430527,ACC0000330,+918232682802,2024-12-23 04:00:00,investment_scam,465.83,Uttar Pradesh,UttarPradesh_D3,NCRB-IS-05,1
RPT0000136,VIC251277,ACC0000332,+917094232350,2024-12-03 00:00:00,digital_arrest,1074.12,Gujarat,Gujarat_D1,NCRB-DA-01,1
RPT0000137,VIC248521,ACC0000338,+919402108313,2024-10-24 12:00:00,UPI_fraud,165.47,Gujarat,Gujarat_D3,NCRB-UPI-02,0
RPT0000138,VIC227989,ACC0000340,+918813510498,2024-04-15 09:00:00,counterfeit_currency,1147.14,Maharashtra,Maharashtra_D1,NCRB-CC-03,0
RPT0000139,VIC106521,ACC0000347,+919754639692,2024-12-17 11:00:00,investment_scam,732.62,Telangana,Telangana_D3,NCRB-IS-05,1
RPT0000140,VIC260420,ACC0000353,+919945330117,2024-09-25 02:00:00,investment_scam,3325.05,Telangana,Telangana_D1,NCRB-IS-05,1
RPT0000141,VIC418801,ACC0000353,+919945330117,2024-06-06 05:00:00,digital_arrest,4268.11,Telangana,Telangana_D1,NCRB-DA-01,0
RPT0000142,VIC965701,ACC0000353,+919945330117,2024-04-19 22:00:00,phishing,4414.92,Telangana,Telangana_D1,NCRB-PH-04,1
RPT0000143,VIC486032,ACC0000360,+918933498069,2024-01-09 13:00:00,digital_arrest,210.28,Delhi,Delhi_D1,NCRB-DA-01,1
RPT0000144,VIC275947,ACC0000360,+918933498069,2024-11-23 16:00:00,investment_scam,121.23,Delhi,Delhi_D1,NCRB-IS-05,1
RPT0000145,VIC156502,ACC0000366,+918145118644,2024-06-28 14:00:00,counterfeit_currency,139.68,Karnataka,Karnataka_D3,NCRB-CC-03,1
RPT0000146,VIC936819,ACC0000367,+917534215473,2024-05-05 23:00:00,counterfeit_currency,307.44,West Bengal,WestBengal_D1,NCRB-CC-03,1
RPT0000147,VIC503089,ACC0000369,+917575276077,2024-05-31 12:00:00,digital_arrest,961.6,Uttar Pradesh,UttarPradesh_D3,NCRB-DA-01,1
RPT0000148,VIC229328,ACC0000378,+918251273196,2024-09-19 06:00:00,UPI_fraud,1304.74,Maharashtra,Maharashtra_D2,NCRB-UPI-02,1
RPT0000149,VIC150854,ACC0000379,+917289863524,2024-04-16 00:00:00,phishing,440.92,Andhra Pradesh,AndhraPradesh_D1,NCRB-PH-04,0
RPT0000150,VIC904371,ACC0000379,+917289863524,2024-08-11 09:00:00,phishing,317.19,Andhra Pradesh,AndhraPradesh_D1,NCRB-PH-04,1
RPT0000151,VIC745373,ACC0000379,+917289863524,2024-05-05 11:00:00,phishing,317.69,Andhra Pradesh,AndhraPradesh_D1,NCRB-PH-04,1
RPT0000152,VIC615103,ACC0000379,+917289863524,2024-01-17 06:00:00,counterfeit_currency,589.54,Andhra Pradesh,AndhraPradesh_D1,NCRB-CC-03,0
RPT0000153,VIC433215,ACC0000379,+917289863524,2024-12-09 01:00:00,phishing,517.08,Andhra Pradesh,AndhraPradesh_D1,NCRB-PH-04,0
RPT0000154,VIC886353,ACC0000379,+917289863524,2024-08-17 13:00:00,digital_arrest,595.37,Andhra Pradesh,AndhraPradesh_D1,NCRB-DA-01,1
RPT0000155,VIC445384,ACC0000384,+919717030322,2024-12-19 11:00:00,investment_scam,114.9,Rajasthan,Rajasthan_D3,NCRB-IS-05,1
RPT0000156,VIC540002,ACC0000392,+919954439922,2024-02-17 01:00:00,investment_scam,169.4,Tamil Nadu,TamilNadu_D3,NCRB-IS-05,1
RPT0000157,VIC436468,ACC0000393,+918294566365,2024-06-06 11:00:00,investment_scam,154.76,Karnataka,Karnataka_D1,NCRB-IS-05,1
RPT0000158,VIC376415,ACC0000399,+919199602017,2024-01-09 00:00:00,investment_scam,483.93,Gujarat,Gujarat_D1,NCRB-IS-05,1
RPT0000159,VIC650954,ACC0000401,+919194050062,2024-03-16 09:00:00,UPI_fraud,510.67,Maharashtra,Maharashtra_D1,NCRB-UPI-02,1
RPT0000160,VIC602173,ACC0000402,+917687647748,2024-04-15 05:00:00,investment_scam,354.92,Rajasthan,Rajasthan_D1,NCRB-IS-05,1
RPT0000161,VIC281805,ACC0000402,+917687647748,2024-08-10 11:00:00,counterfeit_currency,263.63,Rajasthan,Rajasthan_D1,NCRB-CC-03,0
RPT0000162,VIC380702,ACC0000404,+917048048736,2024-10-12 01:00:00,UPI_fraud,79.2,Andhra Pradesh,AndhraPradesh_D2,NCRB-UPI-02,1
RPT0000163,VIC925241,ACC0000407,+917465896568,2024-04-15 03:00:00,digital_arrest,468.37,Karnataka,Karnataka_D3,NCRB-DA-01,1
RPT0000164,VIC105629,ACC0000407,+917465896568,2024-05-26 00:00:00,investment_scam,432.07,Karnataka,Karnataka_D3,NCRB-IS-05,1
RPT0000165,VIC811175,ACC0000407,+917465896568,2024-07-01 16:00:00,counterfeit_currency,356.94,Karnataka,Karnataka_D3,NCRB-CC-03,0
RPT0000166,VIC180324,ACC0000407,+917465896568,2024-02-12 01:00:00,investment_scam,254.63,Karnataka,Karnataka_D3,NCRB-IS-05,0
RPT0000167,VIC527289,ACC0000407,+917465896568,2024-10-25 11:00:00,UPI_fraud,338.3,Karnataka,Karnataka_D3,NCRB-UPI-02,1
RPT0000168,VIC471744,ACC0000407,+917465896568,2024-08-07 17:00:00,phishing,461.15,Karnataka,Karnataka_D3,NCRB-PH-04,1
RPT0000169,VIC914792,ACC0000407,+917465896568,2024-10-05 03:00:00,digital_arrest,449.92,Karnataka,Karnataka_D3,NCRB-DA-01,1
RPT0000170,VIC595720,ACC0000408,+919532058451,2024-10-17 11:00:00,phishing,118.52,Maharashtra,Maharashtra_D3,NCRB-PH-04,0
RPT0000171,VIC344820,ACC0000412,+918225003835,2024-07-16 15:00:00,counterfeit_currency,121.98,West Bengal,WestBengal_D3,NCRB-CC-03,0
RPT0000172,VIC332298,ACC0000413,+918471257640,2024-01-28 13:00:00,counterfeit_currency,326.92,West Bengal,WestBengal_D1,NCRB-CC-03,0
RPT0000173,VIC664609,ACC0000413,+918471257640,2024-07-03 16:00:00,counterfeit_currency,135.99,West Bengal,WestBengal_D1,NCRB-CC-03,1
RPT0000174,VIC160660,ACC0000416,+917713496962,2024-09-04 11:00:00,UPI_fraud,367.07,Tamil Nadu,TamilNadu_D2,NCRB-UPI-02,0
RPT0000175,VIC269474,ACC0000418,+917937326773,2024-08-16 16:00:00,phishing,4960.77,Karnataka,Karnataka_D1,NCRB-PH-04,0
